protocol,n,states,relation,t_rel_s,t_bnd_s,cards
combined,8,3,dec_inc,3.4792e-05,0.000449042,64;64;5048;5048
combined,8,3,restart,3.4792e-05,0.0001625,72;0;72;7112
combined,8,3,dec_restart,3.4792e-05,5.8042e-05,72;64;5056;7176
combined,12,3,dec_inc,5.6875e-05,0.000864208,144;144;86472;86472
combined,12,3,restart,5.6875e-05,0.00013975,156;0;156;113652
combined,12,3,dec_restart,5.6875e-05,0.000113417,156;144;86484;113796
combined,16,3,dec_inc,6.8791e-05,0.00101896,256;256;616144;616144
combined,16,3,restart,6.8791e-05,0.0001845,272;0;272;773136
combined,16,3,dec_restart,6.8791e-05,0.00014825,272;256;616160;773392
combined,22,3,dec_inc,9.9083e-05,0.00203154,484;484;5314100;5314100
combined,22,3,restart,9.9083e-05,0.000277459,506;0;506;6375754
combined,22,3,dec_restart,9.9083e-05,0.00023275,506;484;5314122;6376238
combined,40,3,dec_inc,0.000203958,0.00435829,1600;1600;303050840;303050840
combined,40,3,restart,0.000203958,0.000572375,1640;0;1640;340336360
combined,40,3,dec_restart,0.000203958,0.000453583,1640;1600;303050880;340337960
combined,60,3,dec_inc,0.000298083,0.00703708,3600;3600;4786628760;4786628760
combined,60,3,restart,0.000298083,0.000794667,3660;0;3660;5202090180
combined,60,3,dec_restart,0.000298083,0.000638792,3660;3600;4786628820;5202093780
combined,100,3,dec_inc,0.000526375,0.0118746,10000;10000;158793937600;158793937600
combined,100,3,restart,0.000526375,0.00130346,10100;0;10100;167499047100
combined,100,3,dec_restart,0.000526375,0.00102529,10100;10000;158793937700;167499057100
combined,8,4,dec_inc,6.2667e-05,0.000548292,64;64;10816;10816
combined,8,4,restart,6.2667e-05,0.00013525,72;0;72;17304
combined,8,4,dec_restart,6.2667e-05,8.5042e-05,72;64;10824;17368
combined,16,4,dec_inc,0.000114875,0.00126658,256;256;822784;822784
combined,16,4,restart,0.000114875,0.000300292,272;0;272;1102416
combined,16,4,dec_restart,0.000114875,0.000195208,272;256;822800;1102672
combined,30,4,dec_inc,0.0002455,0.00258717,900;900;48142350;48142350
combined,30,4,restart,0.0002455,0.000653917,930;0;930;57392160
combined,30,4,dec_restart,0.0002455,0.000404291,930;900;48142380;57393060
combined,60,4,dec_inc,0.000485709,0.00566375,3600;3600;4947189000;4947189000
combined,60,4,restart,0.000485709,0.00129142,3660;0;3660;5435641680
combined,60,4,dec_restart,0.000485709,0.000868667,3660;3600;4947189060;5435645280
combined,8,5,dec_inc,8.7167e-05,0.000706667,64;64;13056;13056
combined,8,5,restart,8.7167e-05,0.000186709,72;0;72;22008
combined,8,5,dec_restart,8.7167e-05,0.00012475,72;64;13064;22072
combined,16,5,dec_inc,0.000171792,0.0117227,256;256;862464;862464
combined,16,5,restart,0.000171792,0.000389375,272;0;272;1178576
combined,16,5,dec_restart,0.000171792,0.000230958,272;256;862480;1178832
combined,30,5,dec_inc,0.000306583,0.00288246,900;900;48655650;48655650
combined,30,5,restart,0.000306583,0.000743291,930;0;930;58336110
combined,30,5,dec_restart,0.000306583,0.000462334,930;900;48655680;58337010
combined,60,5,dec_inc,0.000679,0.00678321,3600;3600;4955614200;4955614200
combined,60,5,restart,0.000679,0.00223367,3660;0;3660;5450757480
combined,60,5,dec_restart,0.000679,0.00129604,3660;3600;4955614260;5450761080
per_condition,8,3,dec_inc,3.4292e-05,0.00044875,64;64;5048;5048
per_condition,8,3,restart,3.4292e-05,0.000164042,72;0;72;7112
per_condition,8,3,dec_restart,3.4292e-05,6.3917e-05,72;64;5056;7176
per_condition,12,3,dec_inc,5.3166e-05,0.00168671,144;144;86472;86472
per_condition,12,3,restart,5.3166e-05,0.000298792,156;0;156;113652
per_condition,12,3,dec_restart,5.3166e-05,9.975e-05,156;144;86484;113796
per_condition,16,3,dec_inc,7.375e-05,0.00125667,256;256;616144;616144
per_condition,16,3,restart,7.375e-05,0.000213292,272;0;272;773136
per_condition,16,3,dec_restart,7.375e-05,0.000172541,272;256;616160;773392
per_condition,22,3,dec_inc,0.000158208,0.00199538,484;484;5314100;5314100
per_condition,22,3,restart,0.000158208,0.000272166,506;0;506;6375754
per_condition,22,3,dec_restart,0.000158208,0.000211625,506;484;5314122;6376238
per_condition,40,3,dec_inc,0.000186667,0.00389575,1600;1600;303050840;303050840
per_condition,40,3,restart,0.000186667,0.000657625,1640;0;1640;340336360
per_condition,40,3,dec_restart,0.000186667,0.000486875,1640;1600;303050880;340337960
per_condition,60,3,dec_inc,0.000302667,0.00504225,3600;3600;4786628760;4786628760
per_condition,60,3,restart,0.000302667,0.00201079,3660;0;3660;5202090180
per_condition,60,3,dec_restart,0.000302667,0.000593667,3660;3600;4786628820;5202093780
per_condition,100,3,dec_inc,0.000508875,0.00981746,10000;10000;158793937600;158793937600
per_condition,100,3,restart,0.000508875,0.00150679,10100;0;10100;167499047100
per_condition,100,3,dec_restart,0.000508875,0.00104758,10100;10000;158793937700;167499057100
per_condition,8,4,dec_inc,6.5708e-05,0.000652792,64;64;10816;10816
per_condition,8,4,restart,6.5708e-05,0.000146625,72;0;72;17304
per_condition,8,4,dec_restart,6.5708e-05,9.3833e-05,72;64;10824;17368
per_condition,16,4,dec_inc,0.0001915,0.00143571,256;256;822784;822784
per_condition,16,4,restart,0.0001915,0.000355375,272;0;272;1102416
per_condition,16,4,dec_restart,0.0001915,0.000617,272;256;822800;1102672
per_condition,30,4,dec_inc,0.000235042,0.00305446,900;900;48142350;48142350
per_condition,30,4,restart,0.000235042,0.00122917,930;0;930;57392160
per_condition,30,4,dec_restart,0.000235042,0.000412958,930;900;48142380;57393060
per_condition,60,4,dec_inc,0.000479084,0.00633504,3600;3600;4947189000;4947189000
per_condition,60,4,restart,0.000479084,0.00138275,3660;0;3660;5435641680
per_condition,60,4,dec_restart,0.000479084,0.000876917,3660;3600;4947189060;5435645280
per_condition,8,5,dec_inc,8.7458e-05,0.000762375,64;64;13056;13056
per_condition,8,5,restart,8.7458e-05,0.000177375,72;0;72;22008
per_condition,8,5,dec_restart,8.7458e-05,0.000259291,72;64;13064;22072
per_condition,16,5,dec_inc,0.00016825,0.00162917,256;256;862464;862464
per_condition,16,5,restart,0.00016825,0.000692042,272;0;272;1178576
per_condition,16,5,dec_restart,0.00016825,0.000243541,272;256;862480;1178832
per_condition,30,5,dec_inc,0.000324916,0.00352487,900;900;48655650;48655650
per_condition,30,5,restart,0.000324916,0.000840208,930;0;930;58336110
per_condition,30,5,dec_restart,0.000324916,0.000496416,930;900;48655680;58337010
per_condition,60,5,dec_inc,0.000677791,0.00589983,3600;3600;4955614200;4955614200
per_condition,60,5,restart,0.000677791,0.00392488,3660;0;3660;5450757480
per_condition,60,5,dec_restart,0.000677791,0.000895167,3660;3600;4955614260;5450761080
