n,states,relation,phase,method,seconds,cards
8,3,dec_inc,rel,union,0.000045208,64;64;5048;5048
8,3,dec_inc,rel,chain,0.000004417,64;64;5048;5048
8,3,dec_inc,bnd,product,0.000207792,64;64;5048;5048
8,3,dec_inc,bnd,fused,0.000046209,64;64;5048;5048
8,3,restart,rel,union,0.000010750,72;0;72;7112
8,3,restart,rel,chain,0.000000750,72;0;72;7112
8,3,restart,bnd,product,0.000098917,72;0;72;7112
8,3,restart,bnd,fused,0.000030167,72;0;72;7112
8,3,dec_restart,rel,union,0.000022500,72;64;5056;7176
8,3,dec_restart,rel,chain,0.000002209,72;64;5056;7176
8,3,dec_restart,bnd,product,0.000101084,72;64;5056;7176
8,3,dec_restart,bnd,fused,0.000049833,72;64;5056;7176
12,3,dec_inc,rel,union,0.000077584,144;144;86472;86472
12,3,dec_inc,rel,chain,0.000005666,144;144;86472;86472
12,3,dec_inc,bnd,product,0.000324834,144;144;86472;86472
12,3,dec_inc,bnd,fused,0.000117167,144;144;86472;86472
12,3,restart,rel,union,0.000036208,156;0;156;113652
12,3,restart,rel,chain,0.000001708,156;0;156;113652
12,3,restart,bnd,product,0.000273959,156;0;156;113652
12,3,restart,bnd,fused,0.000080750,156;0;156;113652
12,3,dec_restart,rel,union,0.000069584,156;144;86484;113796
12,3,dec_restart,rel,chain,0.000004875,156;144;86484;113796
12,3,dec_restart,bnd,product,0.000312042,156;144;86484;113796
12,3,dec_restart,bnd,fused,0.000119708,156;144;86484;113796
16,3,dec_inc,rel,union,0.000117500,256;256;616144;616144
16,3,dec_inc,rel,chain,0.000007958,256;256;616144;616144
16,3,dec_inc,bnd,product,0.000399083,256;256;616144;616144
16,3,dec_inc,bnd,fused,0.000137167,256;256;616144;616144
16,3,restart,rel,union,0.000052667,272;0;272;773136
16,3,restart,rel,chain,0.000001916,272;0;272;773136
16,3,restart,bnd,product,0.000375917,272;0;272;773136
16,3,restart,bnd,fused,0.000113083,272;0;272;773136
16,3,dec_restart,rel,union,0.000105958,272;256;616160;773392
16,3,dec_restart,rel,chain,0.000007292,272;256;616160;773392
16,3,dec_restart,bnd,product,0.000387792,272;256;616160;773392
16,3,dec_restart,bnd,fused,0.000138958,272;256;616160;773392
22,3,dec_inc,rel,union,0.000178708,484;484;5314100;5314100
22,3,dec_inc,rel,chain,0.000007542,484;484;5314100;5314100
22,3,dec_inc,bnd,product,0.000499291,484;484;5314100;5314100
22,3,dec_inc,bnd,fused,0.000164208,484;484;5314100;5314100
22,3,restart,rel,union,0.000079958,506;0;506;6375754
22,3,restart,rel,chain,0.000002125,506;0;506;6375754
22,3,restart,bnd,product,0.000461125,506;0;506;6375754
22,3,restart,bnd,fused,0.000117959,506;0;506;6375754
22,3,dec_restart,rel,union,0.000158958,506;484;5314122;6376238
22,3,dec_restart,rel,chain,0.000006625,506;484;5314122;6376238
22,3,dec_restart,bnd,product,0.000495083,506;484;5314122;6376238
22,3,dec_restart,bnd,fused,0.000187208,506;484;5314122;6376238
40,3,dec_inc,rel,union,0.000487000,1600;1600;303050840;303050840
40,3,dec_inc,rel,chain,0.000011583,1600;1600;303050840;303050840
40,3,dec_inc,bnd,product,0.000908791,1600;1600;303050840;303050840
40,3,dec_inc,bnd,fused,0.000298709,1600;1600;303050840;303050840
40,3,restart,rel,union,0.000217791,1640;0;1640;340336360
40,3,restart,rel,chain,0.000003250,1640;0;1640;340336360
40,3,restart,bnd,product,0.000765791,1640;0;1640;340336360
40,3,restart,bnd,fused,0.000202333,1640;0;1640;340336360
40,3,dec_restart,rel,union,0.000436291,1640;1600;303050880;340337960
40,3,dec_restart,rel,chain,0.000010291,1640;1600;303050880;340337960
40,3,dec_restart,bnd,product,0.000836459,1640;1600;303050880;340337960
40,3,dec_restart,bnd,fused,0.000323750,1640;1600;303050880;340337960
60,3,dec_inc,rel,union,0.000953542,3600;3600;4786628760;4786628760
60,3,dec_inc,rel,chain,0.000022291,3600;3600;4786628760;4786628760
60,3,dec_inc,bnd,product,0.001179667,3600;3600;4786628760;4786628760
60,3,dec_inc,bnd,fused,0.000392125,3600;3600;4786628760;4786628760
60,3,restart,rel,union,0.000469417,3660;0;3660;5202090180
60,3,restart,rel,chain,0.000004792,3660;0;3660;5202090180
60,3,restart,bnd,product,0.001164916,3660;0;3660;5202090180
60,3,restart,bnd,fused,0.000319000,3660;0;3660;5202090180
60,3,dec_restart,rel,union,0.000938917,3660;3600;4786628820;5202093780
60,3,dec_restart,rel,chain,0.000020375,3660;3600;4786628820;5202093780
60,3,dec_restart,bnd,product,0.001208209,3660;3600;4786628820;5202093780
60,3,dec_restart,bnd,fused,0.000456625,3660;3600;4786628820;5202093780
100,3,dec_inc,rel,union,0.002406625,10000;10000;158793937600;158793937600
100,3,dec_inc,rel,chain,0.000026542,10000;10000;158793937600;158793937600
100,3,dec_inc,bnd,product,0.002130000,10000;10000;158793937600;158793937600
100,3,dec_inc,bnd,fused,0.000732958,10000;10000;158793937600;158793937600
100,3,restart,rel,union,0.001227625,10100;0;10100;167499047100
100,3,restart,rel,chain,0.000007333,10100;0;10100;167499047100
100,3,restart,bnd,product,0.001925042,10100;0;10100;167499047100
100,3,restart,bnd,fused,0.000542083,10100;0;10100;167499047100
100,3,dec_restart,rel,union,0.002497708,10100;10000;158793937700;167499057100
100,3,dec_restart,rel,chain,0.000024458,10100;10000;158793937700;167499057100
100,3,dec_restart,bnd,product,0.002276416,10100;10000;158793937700;167499057100
100,3,dec_restart,bnd,fused,0.000814208,10100;10000;158793937700;167499057100
8,4,dec_inc,rel,union,0.000035583,64;64;10816;10816
8,4,dec_inc,rel,chain,0.000002958,64;64;10816;10816
8,4,dec_inc,bnd,product,0.000144333,64;64;10816;10816
8,4,dec_inc,bnd,fused,0.000046208,64;64;10816;10816
8,4,restart,rel,union,0.000017583,72;0;72;17304
8,4,restart,rel,chain,0.000000708,72;0;72;17304
8,4,restart,bnd,product,0.000126917,72;0;72;17304
8,4,restart,bnd,fused,0.000039708,72;0;72;17304
8,4,dec_restart,rel,union,0.000034833,72;64;10824;17368
8,4,dec_restart,rel,chain,0.000002834,72;64;10824;17368
8,4,dec_restart,bnd,product,0.000151167,72;64;10824;17368
8,4,dec_restart,bnd,fused,0.000055833,72;64;10824;17368
16,4,dec_inc,rel,union,0.000123167,256;256;822784;822784
16,4,dec_inc,rel,chain,0.000005625,256;256;822784;822784
16,4,dec_inc,bnd,product,0.000323583,256;256;822784;822784
16,4,dec_inc,bnd,fused,0.000109958,256;256;822784;822784
16,4,restart,rel,union,0.000063250,272;0;272;1102416
16,4,restart,rel,chain,0.000001625,272;0;272;1102416
16,4,restart,bnd,product,0.000296833,272;0;272;1102416
16,4,restart,bnd,fused,0.000088416,272;0;272;1102416
16,4,dec_restart,rel,union,0.000113792,272;256;822800;1102672
16,4,dec_restart,rel,chain,0.000005416,272;256;822800;1102672
16,4,dec_restart,bnd,product,0.000331209,272;256;822800;1102672
16,4,dec_restart,bnd,fused,0.000124209,272;256;822800;1102672
30,4,dec_inc,rel,union,0.000403875,900;900;48142350;48142350
30,4,dec_inc,rel,chain,0.000011041,900;900;48142350;48142350
30,4,dec_inc,bnd,product,0.000648041,900;900;48142350;48142350
30,4,dec_inc,bnd,fused,0.000220167,900;900;48142350;48142350
30,4,restart,rel,union,0.000202958,930;0;930;57392160
30,4,restart,rel,chain,0.000002333,930;0;930;57392160
30,4,restart,bnd,product,0.000654500,930;0;930;57392160
30,4,restart,bnd,fused,0.000182833,930;0;930;57392160
30,4,dec_restart,rel,union,0.000410209,930;900;48142380;57393060
30,4,dec_restart,rel,chain,0.000010708,930;900;48142380;57393060
30,4,dec_restart,bnd,product,0.000723625,930;900;48142380;57393060
30,4,dec_restart,bnd,fused,0.000284375,930;900;48142380;57393060
60,4,dec_inc,rel,union,0.001612375,3600;3600;4947189000;4947189000
60,4,dec_inc,rel,chain,0.000021125,3600;3600;4947189000;4947189000
60,4,dec_inc,bnd,product,0.001388084,3600;3600;4947189000;4947189000
60,4,dec_inc,bnd,fused,0.000494250,3600;3600;4947189000;4947189000
60,4,restart,rel,union,0.000818084,3660;0;3660;5435641680
60,4,restart,rel,chain,0.000005000,3660;0;3660;5435641680
60,4,restart,bnd,product,0.001372083,3660;0;3660;5435641680
60,4,restart,bnd,fused,0.000414083,3660;0;3660;5435641680
60,4,dec_restart,rel,union,0.001614292,3660;3600;4947189060;5435645280
60,4,dec_restart,rel,chain,0.000021375,3660;3600;4947189060;5435645280
60,4,dec_restart,bnd,product,0.001491250,3660;3600;4947189060;5435645280
60,4,dec_restart,bnd,fused,0.000598458,3660;3600;4947189060;5435645280
8,5,dec_inc,rel,union,0.000057583,64;64;13056;13056
8,5,dec_inc,rel,chain,0.000002959,64;64;13056;13056
8,5,dec_inc,bnd,product,0.000174792,64;64;13056;13056
8,5,dec_inc,bnd,fused,0.000055750,64;64;13056;13056
8,5,restart,rel,union,0.000025875,72;0;72;22008
8,5,restart,rel,chain,0.000000708,72;0;72;22008
8,5,restart,bnd,product,0.000169167,72;0;72;22008
8,5,restart,bnd,fused,0.000048000,72;0;72;22008
8,5,dec_restart,rel,union,0.000052500,72;64;13064;22072
8,5,dec_restart,rel,chain,0.000003250,72;64;13064;22072
8,5,dec_restart,bnd,product,0.000181750,72;64;13064;22072
8,5,dec_restart,bnd,fused,0.000067542,72;64;13064;22072
16,5,dec_inc,rel,union,0.000190500,256;256;862464;862464
16,5,dec_inc,rel,chain,0.000006250,256;256;862464;862464
16,5,dec_inc,bnd,product,0.000397750,256;256;862464;862464
16,5,dec_inc,bnd,fused,0.000127167,256;256;862464;862464
16,5,restart,rel,union,0.000089542,272;0;272;1178576
16,5,restart,rel,chain,0.000001541,272;0;272;1178576
16,5,restart,bnd,product,0.000363750,272;0;272;1178576
16,5,restart,bnd,fused,0.000106833,272;0;272;1178576
16,5,dec_restart,rel,union,0.000185625,272;256;862480;1178832
16,5,dec_restart,rel,chain,0.000006958,272;256;862480;1178832
16,5,dec_restart,bnd,product,0.000418417,272;256;862480;1178832
16,5,dec_restart,bnd,fused,0.000158250,272;256;862480;1178832
30,5,dec_inc,rel,union,0.000646292,900;900;48655650;48655650
30,5,dec_inc,rel,chain,0.000012167,900;900;48655650;48655650
30,5,dec_inc,bnd,product,0.000790625,900;900;48655650;48655650
30,5,dec_inc,bnd,fused,0.000260542,900;900;48655650;48655650
30,5,restart,rel,union,0.000306416,930;0;930;58336110
30,5,restart,rel,chain,0.000002958,930;0;930;58336110
30,5,restart,bnd,product,0.000746208,930;0;930;58336110
30,5,restart,bnd,fused,0.000230458,930;0;930;58336110
30,5,dec_restart,rel,union,0.000641250,930;900;48655680;58337010
30,5,dec_restart,rel,chain,0.000012417,930;900;48655680;58337010
30,5,dec_restart,bnd,product,0.000877041,930;900;48655680;58337010
30,5,dec_restart,bnd,fused,0.000348375,930;900;48655680;58337010
60,5,dec_inc,rel,union,0.002473542,3600;3600;4955614200;4955614200
60,5,dec_inc,rel,chain,0.000023083,3600;3600;4955614200;4955614200
60,5,dec_inc,bnd,product,0.001675625,3600;3600;4955614200;4955614200
60,5,dec_inc,bnd,fused,0.000555792,3600;3600;4955614200;4955614200
60,5,restart,rel,union,0.001284667,3660;0;3660;5450757480
60,5,restart,rel,chain,0.000005875,3660;0;3660;5450757480
60,5,restart,bnd,product,0.001654875,3660;0;3660;5450757480
60,5,restart,bnd,fused,0.000500833,3660;0;3660;5450757480
60,5,dec_restart,rel,union,0.002682667,3660;3600;4955614260;5450761080
60,5,dec_restart,rel,chain,0.000025459,3660;3600;4955614260;5450761080
60,5,dec_restart,bnd,product,0.001869833,3660;3600;4955614260;5450761080
60,5,dec_restart,bnd,fused,0.000721667,3660;3600;4955614260;5450761080
