n,state_space,phi_nodes,rel_nodes,rel_card,live_nodes,j,b_card,b_nodes,bd_card,bd_nodes,t_phi_s,t_rel_s,t_bnd_s
2,9,3,2,24,41,1,4,5,4,5,0.000004,0.000004,0.000013
2,9,3,2,24,41,2,4,5,4,5,0.000004,0.000004,0.000013
3,27,5,3,108,71,1,9,9,9,9,0.000008,0.000007,0.000020
3,27,5,3,108,71,2,9,9,9,9,0.000008,0.000007,0.000020
4,81,12,4,432,182,1,16,13,16,13,0.000014,0.000009,0.000042
4,81,12,4,432,182,2,32,23,32,23,0.000014,0.000009,0.000042
5,243,19,5,1620,315,1,25,17,25,17,0.000017,0.000014,0.000066
5,243,19,5,1620,315,2,155,37,155,37,0.000017,0.000014,0.000066
6,729,26,6,5832,463,1,36,21,36,21,0.000017,0.000014,0.000089
6,729,26,6,5832,463,2,612,51,612,51,0.000017,0.000014,0.000089
7,2187,33,7,20412,618,1,49,25,49,25,0.000018,0.000017,0.000092
7,2187,33,7,20412,618,2,1918,65,1918,65,0.000018,0.000017,0.000092
8,6561,40,8,69984,773,1,64,29,64,29,0.000018,0.000020,0.000108
8,6561,40,8,69984,773,2,5048,79,5048,79,0.000018,0.000020,0.000108
9,19683,47,9,236196,928,1,81,33,81,33,0.000029,0.000033,0.000186
9,19683,47,9,236196,928,2,11673,93,11673,93,0.000029,0.000033,0.000186
10,59049,54,10,787320,1083,1,100,37,100,37,0.000036,0.000037,0.000207
10,59049,54,10,787320,1083,2,24460,107,24460,107,0.000036,0.000037,0.000207
11,177147,61,11,2598156,1238,1,121,41,121,41,0.000040,0.000047,0.000235
11,177147,61,11,2598156,1238,2,47443,121,47443,121,0.000040,0.000047,0.000235
12,531441,68,12,8503056,1393,1,144,45,144,45,0.000041,0.000052,0.000257
12,531441,68,12,8503056,1393,2,86472,135,86472,135,0.000041,0.000052,0.000257
13,1594323,75,13,27634932,1548,1,169,49,169,49,0.000044,0.000065,0.000260
13,1594323,75,13,27634932,1548,2,149747,149,149747,149,0.000044,0.000065,0.000260
14,4782969,82,14,89282088,1703,1,196,53,196,53,0.000041,0.000057,0.000260
14,4782969,82,14,89282088,1703,2,248444,163,248444,163,0.000041,0.000057,0.000260
15,14348907,89,15,286978140,1858,1,225,57,225,57,0.000041,0.000060,0.000299
15,14348907,89,15,286978140,1858,2,397440,177,397440,177,0.000041,0.000060,0.000299
16,43046721,96,16,918330048,2013,1,256,61,256,61,0.000049,0.000072,0.000322
16,43046721,96,16,918330048,2013,2,616144,191,616144,191,0.000049,0.000072,0.000322
17,129140163,103,17,2927177028,2168,1,289,65,289,65,0.000191,0.000086,0.000369
17,129140163,103,17,2927177028,2168,2,929441,205,929441,205,0.000191,0.000086,0.000369
18,387420489,110,18,9298091736,2323,1,324,69,324,69,0.000072,0.000101,0.000465
18,387420489,110,18,9298091736,2323,2,1368756,219,1368756,219,0.000072,0.000101,0.000465
19,1162261467,117,19,29443957164,2478,1,361,73,361,73,0.000074,0.000109,0.000451
19,1162261467,117,19,29443957164,2478,2,1973245,233,1973245,233,0.000074,0.000109,0.000451
20,3486784401,124,20,92980917360,2633,1,400,77,400,77,0.000073,0.000118,0.000461
20,3486784401,124,20,92980917360,2633,2,2791120,247,2791120,247,0.000073,0.000118,0.000461
21,10460353203,131,21,292889889684,2788,1,441,81,441,81,0.000076,0.000139,0.000485
21,10460353203,131,21,292889889684,2788,2,3881115,261,3881115,261,0.000076,0.000139,0.000485
22,31381059609,138,22,920511081864,2943,1,484,85,484,85,0.000080,0.000149,0.000500
22,31381059609,138,22,920511081864,2943,2,5314100,275,5314100,275,0.000080,0.000149,0.000500
