n,relation,j,up_card,down_card,up_nodes,down_nodes,rel_card,rel_nodes
2,dec,1,0,4,0,9,12,6
2,dec,2,0,4,0,9,12,6
2,inc,1,4,0,9,0,12,6
2,inc,2,4,0,9,0,12,6
2,restart,1,6,0,8,0,12,5
2,restart,2,6,0,8,0,12,5
2,loop,1,6,4,8,9,24,8
2,loop,2,6,4,8,9,24,8
3,dec,1,0,9,0,16,54,9
3,dec,2,0,9,0,16,54,9
3,inc,1,9,0,16,0,54,9
3,inc,2,9,0,16,0,54,9
3,restart,1,12,0,15,0,54,8
3,restart,2,12,0,15,0,54,8
3,loop,1,12,9,15,16,108,12
3,loop,2,12,9,15,16,108,12
4,dec,1,0,16,0,23,216,12
4,dec,2,16,16,23,23,216,12
4,inc,1,16,0,23,0,216,12
4,inc,2,16,16,23,23,216,12
4,restart,1,20,0,22,0,216,11
4,restart,2,20,28,22,24,216,11
4,loop,1,20,16,22,23,432,16
4,loop,2,36,44,42,43,432,16
5,dec,1,0,25,0,30,810,15
5,dec,2,130,25,50,30,810,15
5,inc,1,25,0,30,0,810,15
5,inc,2,25,130,30,50,810,15
5,restart,1,30,0,29,0,810,14
5,restart,2,30,210,29,56,810,14
5,loop,1,30,25,29,30,1620,20
5,loop,2,160,235,72,76,1620,20
6,dec,1,0,36,0,37,2916,18
6,dec,2,576,36,77,37,2916,18
6,inc,1,36,0,37,0,2916,18
6,inc,2,36,576,37,77,2916,18
6,restart,1,42,0,36,0,2916,17
6,restart,2,42,882,36,88,2916,17
6,loop,1,42,36,36,37,5832,24
6,loop,2,618,918,102,109,5832,24
7,dec,1,0,49,0,44,10206,21
7,dec,2,1869,49,104,44,10206,21
7,inc,1,49,0,44,0,10206,21
7,inc,2,49,1869,44,104,10206,21
7,restart,1,56,0,43,0,10206,20
7,restart,2,56,2751,43,120,10206,20
7,loop,1,56,49,43,44,20412,28
7,loop,2,1925,2800,132,142,20412,28
8,dec,1,0,64,0,51,34992,24
8,dec,2,4984,64,131,51,34992,24
8,inc,1,64,0,51,0,34992,24
8,inc,2,64,4984,51,131,34992,24
8,restart,1,72,0,50,0,34992,23
8,restart,2,72,7112,50,152,34992,23
8,loop,1,72,64,50,51,69984,32
8,loop,2,5056,7176,162,175,69984,32
9,dec,1,0,81,0,58,118098,27
9,dec,2,11592,81,158,58,118098,27
9,inc,1,81,0,58,0,118098,27
9,inc,2,81,11592,58,158,118098,27
9,restart,1,90,0,57,0,118098,26
9,restart,2,90,16128,57,184,118098,26
9,loop,1,90,81,57,58,236196,36
9,loop,2,11682,16209,192,208,236196,36
10,dec,1,0,100,0,65,393660,30
10,dec,2,24360,100,185,65,393660,30
10,inc,1,100,0,65,0,393660,30
10,inc,2,100,24360,65,185,393660,30
10,restart,1,110,0,64,0,393660,29
10,restart,2,110,33180,64,216,393660,29
10,loop,1,110,100,64,65,787320,40
10,loop,2,24470,33280,222,241,787320,40
11,dec,1,0,121,0,72,1299078,33
11,dec,2,47322,121,212,72,1299078,33
11,inc,1,121,0,72,0,1299078,33
11,inc,2,121,47322,72,212,1299078,33
11,restart,1,132,0,71,0,1299078,32
11,restart,2,132,63294,71,248,1299078,32
11,loop,1,132,121,71,72,2598156,44
11,loop,2,47454,63415,252,274,2598156,44
12,dec,1,0,144,0,79,4251528,36
12,dec,2,86328,144,239,79,4251528,36
12,inc,1,144,0,79,0,4251528,36
12,inc,2,144,86328,79,239,4251528,36
12,restart,1,156,0,78,0,4251528,35
12,restart,2,156,113652,78,280,4251528,35
12,loop,1,156,144,78,79,8503056,48
12,loop,2,86484,113796,282,307,8503056,48
13,dec,1,0,169,0,86,13817466,39
13,dec,2,149578,169,266,86,13817466,39
13,inc,1,169,0,86,0,13817466,39
13,inc,2,169,149578,86,266,13817466,39
13,restart,1,182,0,85,0,13817466,38
13,restart,2,182,194194,85,312,13817466,38
13,loop,1,182,169,85,86,27634932,52
13,loop,2,149760,194363,312,340,27634932,52
14,dec,1,0,196,0,93,44641044,42
14,dec,2,248248,196,293,93,44641044,42
14,inc,1,196,0,93,0,44641044,42
14,inc,2,196,248248,93,293,44641044,42
14,restart,1,210,0,92,0,44641044,41
14,restart,2,210,318318,92,344,44641044,41
14,loop,1,210,196,92,93,89282088,56
14,loop,2,248458,318514,342,373,89282088,56
