n,relation,j,up_card,down_card,up_nodes,down_nodes,rel_card,rel_nodes,t_bnd_s
2,dec,1,0,4,0,5,12,2,0.000015
2,dec,2,0,4,0,5,12,2,0.000000
2,inc,1,4,0,5,0,12,2,0.000003
2,inc,2,4,0,5,0,12,2,0.000000
2,restart,1,6,0,5,0,12,2,0.000002
2,restart,2,6,0,5,0,12,2,0.000000
2,loop,1,6,4,5,5,24,2,0.000002
2,loop,2,6,4,5,5,24,2,0.000000
3,dec,1,0,9,0,9,54,3,0.000016
3,dec,2,0,9,0,9,54,3,0.000000
3,inc,1,9,0,9,0,54,3,0.000005
3,inc,2,9,0,9,0,54,3,0.000000
3,restart,1,12,0,9,0,54,3,0.000003
3,restart,2,12,0,9,0,54,3,0.000000
3,loop,1,12,9,9,9,108,3,0.000003
3,loop,2,12,9,9,9,108,3,0.000000
4,dec,1,0,16,0,13,216,4,0.000023
4,dec,2,16,16,13,13,216,4,0.000026
4,inc,1,16,0,13,0,216,4,0.000005
4,inc,2,16,16,13,13,216,4,0.000005
4,restart,1,20,0,13,0,216,4,0.000008
4,restart,2,20,28,13,15,216,4,0.000005
4,loop,1,20,16,13,13,432,4,0.000004
4,loop,2,36,44,24,25,432,4,0.000004
5,dec,1,0,25,0,17,810,5,0.000027
5,dec,2,130,25,27,17,810,5,0.000071
5,inc,1,25,0,17,0,810,5,0.000007
5,inc,2,25,130,17,27,810,5,0.000010
5,restart,1,30,0,17,0,810,5,0.000005
5,restart,2,30,210,17,34,810,5,0.000010
5,loop,1,30,25,17,17,1620,5,0.000005
5,loop,2,160,235,39,44,1620,5,0.000007
6,dec,1,0,36,0,21,2916,6,0.000026
6,dec,2,576,36,41,21,2916,6,0.000105
6,inc,1,36,0,21,0,2916,6,0.000009
6,inc,2,36,576,21,41,2916,6,0.000014
6,restart,1,42,0,21,0,2916,6,0.000006
6,restart,2,42,882,21,53,2916,6,0.000018
6,loop,1,42,36,21,21,5832,6,0.000006
6,loop,2,618,918,54,63,5832,6,0.000009
7,dec,1,0,49,0,25,10206,7,0.000036
7,dec,2,1869,49,55,25,10206,7,0.000125
7,inc,1,49,0,25,0,10206,7,0.000010
7,inc,2,49,1869,25,55,10206,7,0.000017
7,restart,1,56,0,25,0,10206,7,0.000007
7,restart,2,56,2751,25,72,10206,7,0.000018
7,loop,1,56,49,25,25,20412,7,0.000007
7,loop,2,1925,2800,69,82,20412,7,0.000011
8,dec,1,0,64,0,29,34992,8,0.000034
8,dec,2,4984,64,69,29,34992,8,0.000133
8,inc,1,64,0,29,0,34992,8,0.000012
8,inc,2,64,4984,29,69,34992,8,0.000019
8,restart,1,72,0,29,0,34992,8,0.000007
8,restart,2,72,7112,29,91,34992,8,0.000020
8,loop,1,72,64,29,29,69984,8,0.000006
8,loop,2,5056,7176,84,101,69984,8,0.000013
9,dec,1,0,81,0,33,118098,9,0.000037
9,dec,2,11592,81,83,33,118098,9,0.000203
9,inc,1,81,0,33,0,118098,9,0.000010
9,inc,2,81,11592,33,83,118098,9,0.000023
9,restart,1,90,0,33,0,118098,9,0.000007
9,restart,2,90,16128,33,110,118098,9,0.000027
